run,a,Rs,Rp,fitness,nfes
1,2.0,0.001,117.36844606699616,2.6243126906873664e-11,40040
2,1.5961225044030516,0.12789818637141542,73.81500892388671,6.437359084264707e-13,40040
3,2.0,0.001,117.37006144355165,4.850888392249727e-11,40040
4,1.5243377508175209,0.022451577627271624,50.0,1.5691150495065634e-10,40040
5,0.6245614922869156,0.6688946884948181,76.60432543623942,2.991332571733057e-11,40040
6,1.1756797437800328,0.4435932980153986,178.87658325511498,1.3247799459441254e-11,40040
7,1.392432235992457,0.3039492686990948,112.98477222390613,2.176588607571901e-11,40040
8,2.0,0.001,117.36664186188997,9.39664369118786e-12,40040
9,1.8364348918992004,0.06368747582304057,102.21616208098025,3.440543870228117e-11,40040
10,1.5570722682719846,0.001,50.0,5.726576859169542e-10,40040
11,0.8393707523824904,0.6035096488308694,168.10331364399764,1.1848937629000285e-10,40040
12,0.5,0.6886979116368103,50.0,2.0461654825770433e-10,40040
13,1.5570090568520043,0.001,50.0,3.847714987990072e-12,40040
14,0.8537361538112092,0.5355340263778678,71.90072920970826,2.169342892341368e-09,40040
15,0.825915395423012,0.48929514690334863,51.958895158194515,9.111065634457804e-13,40040
16,1.5570041187020285,0.001,50.0,6.021789365028411e-14,40040
17,1.5570223894153883,0.001,50.0,4.349526401106546e-11,40040
18,1.8117402829187248,0.001,71.94330009772966,5.4734990064702894e-12,40040
19,1.3369873674183146,0.3669056273450905,182.53350117492604,2.6194003438658554e-11,40040
20,1.9178962421488819,0.0041789667201779235,92.79557456088918,6.598941798890569e-13,40040
21,0.5,0.74513288347763,87.40358556050053,5.236922636458976e-10,40040
22,1.043455915351676,0.336545748778223,50.0,1.554166670706891e-10,40040
23,1.8307786719247034,0.07850663308684362,110.66541895733188,4.324206578487637e-11,40040
24,2.0,0.021096915309019575,137.51244139538937,1.0106406548226545e-11,40040
25,2.0,0.02381825853236163,140.9149372787095,1.5226096846834458e-13,40040
26,2.0,0.001,117.36696211699324,1.1769011963723437e-11,40040
27,1.557008807886428,0.001,50.0,3.5157584534160494e-12,40040
28,1.1663493608478093,0.37399392064024417,77.41476279324989,4.9074107578189455e-11,40040
29,1.1667345031582435,0.35053420229185595,68.1202673697893,2.259719590400143e-13,40040
30,1.99075609603944,0.0037191048718575592,115.77131332321416,8.918011445655643e-12,40040
