run,a,Rs,Rp,fitness,nfes
1,1.671156061359765,0.001,200.0,1.2671384603824345e-11,14880
2,1.671156061359765,0.001,200.0,1.2671384603824345e-11,14880
3,1.6166638429806397,0.001,148.2981960224406,4.54790612358775e-13,9240
4,0.5,0.5983015703372588,143.47521471221788,2.912818755681833e-11,12180
5,0.5,0.5983015703372588,143.47521471221788,2.912818755681833e-11,12180
6,1.6672307416160375,0.001,195.02324640187325,8.574053279916662e-11,8220
7,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
8,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
9,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
10,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
11,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
12,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
13,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
14,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
15,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
16,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
17,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
18,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
19,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
20,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
21,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
22,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
23,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900
24,0.9881375612281056,0.18657680725561065,61.76944006422775,4.024832146721425e-11,10020
25,0.9881375612281056,0.18657680725561065,61.76944006422775,4.024832146721425e-11,10020
26,1.417885683989587,0.013365635279395514,84.12667417066383,3.23330865221552e-11,8760
27,1.417885683989587,0.013365635279395514,84.12667417066383,3.23330865221552e-11,8760
28,1.5443850682857578,0.001,111.91620230165636,8.170513123377543e-11,7620
29,1.5443850682857578,0.001,111.91620230165636,8.170513123377543e-11,7620
30,1.0273069494098694,0.001,50.0,1.2245944992328224e-11,2820
