run,a,Rs,Rp,fitness,nfes
1,1.3151065342403285,0.036928012108804836,63.83523202778161,6.896620279648106e-11,2520
2,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
3,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
4,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
5,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
6,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
7,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
8,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
9,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
10,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
11,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
12,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
13,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
14,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
15,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
16,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
17,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
18,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
19,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
20,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
21,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960
22,2.0,0.5160200918966437,118.07243848399317,2.3933452602775527e-14,3720
23,2.0,0.5160200918966437,118.07243848399317,2.3933452602775527e-14,3720
24,2.0,0.5160200918966437,118.07243848399317,2.3933452602775527e-14,3720
25,2.0,0.5160200918966437,118.07243848399317,2.3933452602775527e-14,3720
26,2.0,0.5160200918966437,118.07243848399317,2.3933452602775527e-14,3720
27,1.84050125408364,0.8968694161152815,178.1203915016659,1.2822460471739067e-11,3540
28,1.84050125408364,0.8968694161152815,178.1203915016659,1.2822460471739067e-11,3540
29,1.84050125408364,0.8968694161152815,178.1203915016659,1.2822460471739067e-11,3540
30,1.84050125408364,0.8968694161152815,178.1203915016659,1.2822460471739067e-11,3540
