run,a,Rs,Rp,fitness,nfes
1,1.0272961244610455,0.001,50.0,1.1640319187721614e-14,40040
2,0.5,0.4512196052724753,50.0,9.917104708162413e-10,40040
3,1.027259917943572,0.001,50.0,1.4817321168539414e-10,40040
4,1.0272477346503222,0.001,50.0,2.6348149943532047e-10,40040
5,1.0273154420271033,0.001,50.0,4.0063510035278935e-11,40040
6,1.0272607207750135,0.001,50.0,1.4173222011426435e-10,40040
7,1.0272864653424076,0.001,50.0,1.106636899153569e-11,40040
8,0.9849672611269518,0.03767447118917637,50.0,5.864039908514301e-10,40040
9,1.0278658759541088,0.001,50.020346088723585,4.5915592796109544e-10,40040
10,1.0273417520199022,0.001,50.0,2.2794159529046045e-10,40040
11,0.5,0.45118995214657126,50.0,3.5485371700191614e-11,40040
12,0.807953620416644,0.18978846283915696,50.0,4.345487112643686e-11,40040
13,1.0272798408424673,0.001,50.0,3.062585298163962e-11,40040
14,1.2592242085547443,0.08070090488653259,75.66237344394818,2.942601054684607e-11,40040
15,0.5329747785726038,0.4234071376458626,50.0,1.7093916873290205e-10,40040
16,1.0272860830786399,0.001,50.0,1.1930088603406839e-11,40040
17,0.5,0.5954828347073212,133.48397402555943,7.536395984647028e-10,40040
18,1.0273061392437755,0.001,50.0,1.042926388508059e-11,40040
19,1.0883515858034185,0.23422488269730302,94.92718956507561,2.5890934774698055e-11,40040
20,1.0273181031392093,0.001,50.0,5.207641454208111e-11,40040
21,1.259921470325509,0.20450234938168688,172.50417651625713,5.484403485101262e-10,40040
22,0.5,0.45117858733307864,50.0,1.4646761805131186e-11,40040
23,1.5396310247205187,0.06276670405693723,183.9524875579316,1.2813658278526068e-09,40040
24,0.7328303476170022,0.2539570126743176,50.0,1.9193374024233393e-11,40040
25,1.2698358170538868,0.001,62.95638701105718,1.5933250968050622e-12,40040
26,1.230951255558729,0.21096921300163274,153.91837809140094,3.3927408142294223e-10,40040
27,1.1959186442517,0.08769235119146596,68.48004298075914,9.71480804422856e-13,40040
28,1.0273515398578896,0.001,50.0,3.370827870329598e-10,40040
29,1.2626948976999772,0.006498908462315235,63.028430403798666,3.0852661344476716e-15,28160
30,0.9252903048568314,0.08908819597948256,50.0,1.33980249027172e-13,40040
