run,a,Rs,Rp,fitness,nfes
1,1.4382382850972288,0.001,84.10459004353692,5.818452427225825e-12,20020
2,1.5794428689533777,0.001,126.75246352492807,9.176326489883541e-14,20020
3,1.2164449456265827,0.13463497369142102,83.98853474076077,4.6226768437549296e-11,20020
4,0.5,0.5391665267374339,67.0967509731297,5.787615981935577e-12,20020
5,1.0272791179946852,0.001,50.0,3.334983410797499e-11,20020
6,1.6336630646886887,0.001,161.0948211977589,1.0785697199600913e-12,20020
7,1.6589440779255453,0.007330046556570508,200.0,1.235774502340997e-13,20020
8,1.5896694373525653,0.001,131.9580253569268,5.814627196814731e-14,20020
9,1.0273027279859455,0.001,50.0,4.379223882923503e-12,20020
10,1.6614302230208866,0.0020297773358972583,190.385414682171,5.202127772351892e-12,20020
11,1.671129570833666,0.001,200.0,3.0819022909394357e-10,20020
12,1.394710768937541,0.001,76.88526658813967,1.984377092174141e-11,20020
13,1.2877348194237404,0.023523746548784336,67.82264867688463,7.694360780456338e-12,20020
14,0.5000304065666827,0.6069225509931527,190.17308221672315,2.5705431150991045e-11,20020
15,1.3580240363914013,0.001,71.92708585163233,1.4718509144318386e-11,20020
16,1.6711583841788804,0.001,200.0,2.928078382936651e-11,20020
17,1.67114330614618,0.001,200.0,4.3655839186409464e-11,20020
18,1.0272963991040458,0.001,50.0,2.679567057683035e-16,10200
19,1.0272966889717732,0.001,50.0,6.4360570341025576e-15,14320
20,1.6676493878645933,0.001,195.52865542399212,8.892522418648029e-14,20020
21,1.5816961874206696,0.0046097407751401615,131.23844097461267,9.38862817219165e-13,20020
22,1.638062617294069,0.001,164.81687218269386,8.525333600762105e-11,20020
23,1.027267480064752,0.001,50.0,9.317810845089981e-11,20020
24,1.6711519426042063,0.001,200.0,7.656157852597655e-14,20020
25,1.6442820638827427,0.014539120357008203,199.02034423277303,2.348355351175826e-10,20020
26,0.5791869453890431,0.38436496993202934,50.0,6.627832839635517e-14,20020
27,1.027295783607848,0.001,50.0,4.905107299473399e-14,20020
28,1.0272975299416354,0.001,50.0,1.2993649860842987e-13,20020
29,0.5,0.5952036400967589,132.5963898083519,2.9515363842759055e-10,20020
30,1.6207431329387652,0.0019234747211065912,152.41286429894578,3.4160892678697417e-12,20020
